instrument,level_id,timing_bin,n
ES,lower_N5_median_k3,MINUTES_61_TO_120,65
ES,lower_N5_median_k3,MINUTES_6_TO_15,219
ES,upper_N10_ema_k0,BAR_0930,545
ES,upper_N10_ema_k0,MINUTES_16_TO_30,58
ES,upper_N10_ema_k0,MINUTES_2_TO_5,304
ES,upper_N10_ema_k0,MINUTES_31_TO_60,50
ES,upper_N10_ema_k0,MINUTES_61_TO_120,38
ES,upper_N10_ema_k0,MINUTES_6_TO_15,144
ES,upper_N10_ema_k1,BAR_0930,233
ES,upper_N10_ema_k1,MINUTES_16_TO_30,108
ES,upper_N10_ema_k1,MINUTES_2_TO_5,376
ES,upper_N10_ema_k1,MINUTES_31_TO_60,79
ES,upper_N10_ema_k1,MINUTES_61_TO_120,69
ES,upper_N10_ema_k1,MINUTES_6_TO_15,177
ES,upper_N10_ema_k2,BAR_0930,107
ES,upper_N10_ema_k2,MINUTES_16_TO_30,131
ES,upper_N10_ema_k2,MINUTES_2_TO_5,311
ES,upper_N10_ema_k2,MINUTES_31_TO_60,100
ES,upper_N10_ema_k2,MINUTES_61_TO_120,81
ES,upper_N10_ema_k2,MINUTES_6_TO_15,211
ES,upper_N10_ema_k3,BAR_0930,42
ES,upper_N10_ema_k3,MINUTES_16_TO_30,121
ES,upper_N10_ema_k3,MINUTES_2_TO_5,246
ES,upper_N10_ema_k3,MINUTES_31_TO_60,117
ES,upper_N10_ema_k3,MINUTES_61_TO_120,100
ES,upper_N10_ema_k3,MINUTES_6_TO_15,233
ES,upper_N10_mean_k0,BAR_0930,539
ES,upper_N10_mean_k0,MINUTES_16_TO_30,65
ES,upper_N10_mean_k0,MINUTES_2_TO_5,312
ES,upper_N10_mean_k0,MINUTES_31_TO_60,53
ES,upper_N10_mean_k0,MINUTES_61_TO_120,38
ES,upper_N10_mean_k0,MINUTES_6_TO_15,134
ES,upper_N10_mean_k1,BAR_0930,236
ES,upper_N10_mean_k1,MINUTES_16_TO_30,109
ES,upper_N10_mean_k1,MINUTES_2_TO_5,370
ES,upper_N10_mean_k1,MINUTES_31_TO_60,79
ES,upper_N10_mean_k1,MINUTES_61_TO_120,70
ES,upper_N10_mean_k1,MINUTES_6_TO_15,176
ES,upper_N10_mean_k2,BAR_0930,105
ES,upper_N10_mean_k2,MINUTES_16_TO_30,128
ES,upper_N10_mean_k2,MINUTES_2_TO_5,312
ES,upper_N10_mean_k2,MINUTES_31_TO_60,99
ES,upper_N10_mean_k2,MINUTES_61_TO_120,78
ES,upper_N10_mean_k2,MINUTES_6_TO_15,217
ES,upper_N10_mean_k3,BAR_0930,42
ES,upper_N10_mean_k3,MINUTES_16_TO_30,124
ES,upper_N10_mean_k3,MINUTES_2_TO_5,242
ES,upper_N10_mean_k3,MINUTES_31_TO_60,115
ES,upper_N10_mean_k3,MINUTES_61_TO_120,101
ES,upper_N10_mean_k3,MINUTES_6_TO_15,233
ES,upper_N10_median_k0,BAR_0930,663
ES,upper_N10_median_k0,MINUTES_16_TO_30,48
ES,upper_N10_median_k0,MINUTES_2_TO_5,262
ES,upper_N10_median_k0,MINUTES_31_TO_60,47
ES,upper_N10_median_k0,MINUTES_61_TO_120,33
ES,upper_N10_median_k0,MINUTES_6_TO_15,108
ES,upper_N10_median_k1,BAR_0930,285
ES,upper_N10_median_k1,MINUTES_16_TO_30,105
ES,upper_N10_median_k1,MINUTES_2_TO_5,366
ES,upper_N10_median_k1,MINUTES_31_TO_60,69
ES,upper_N10_median_k1,MINUTES_61_TO_120,63
ES,upper_N10_median_k1,MINUTES_6_TO_15,167
ES,upper_N10_median_k2,BAR_0930,120
ES,upper_N10_median_k2,MINUTES_16_TO_30,123
ES,upper_N10_median_k2,MINUTES_2_TO_5,327
ES,upper_N10_median_k2,MINUTES_31_TO_60,97
ES,upper_N10_median_k2,MINUTES_61_TO_120,76
ES,upper_N10_median_k2,MINUTES_6_TO_15,209
ES,upper_N10_median_k3,BAR_0930,48
ES,upper_N10_median_k3,MINUTES_16_TO_30,127
ES,upper_N10_median_k3,MINUTES_2_TO_5,257
ES,upper_N10_median_k3,MINUTES_31_TO_60,109
ES,upper_N10_median_k3,MINUTES_61_TO_120,97
ES,upper_N10_median_k3,MINUTES_6_TO_15,230
