instrument,level_id,n_reversal_proxy,n_blast_through_proxy,n_neutral,n_total_touch_bars,n_nonneutral,reversal_rate,blast_through_rate,neutral_rate,reversal_minus_blast_diff,p_raw,q_value,same_bar_classification
NQ,upper_N10_mean_k2,457,466,0,923,923,0.49512459371614304,0.504875406283857,0.0,-0.009750812567713976,0.7923185545544904,0.9032460104161287,SAME_BAR_MIXED
NQ,upper_N10_mean_k3,434,404,0,838,838,0.5178997613365155,0.4821002386634845,0.0,0.03579952267303103,0.3164457143364048,0.6803582858232703,SAME_BAR_MIXED
NQ,upper_N10_median_k0,534,595,16,1145,1129,0.4663755458515284,0.519650655021834,0.013973799126637555,-0.05327510917030567,0.07410390537592382,0.3354176769647078,SAME_BAR_MIXED
NQ,upper_N10_median_k1,522,523,0,1045,1045,0.4995215311004785,0.5004784688995215,0.0,-0.0009569377990430622,1.0,1.0,SAME_BAR_MIXED
NQ,upper_N10_median_k2,462,476,0,938,938,0.4925373134328358,0.5074626865671642,0.0,-0.014925373134328358,0.671249276546212,0.8809057314124004,SAME_BAR_MIXED
NQ,upper_N10_median_k3,442,406,0,848,848,0.5212264150943396,0.47877358490566035,0.0,0.04245283018867924,0.22938007119412973,0.5801966506675046,SAME_BAR_MIXED
NQ,upper_N20_ema_k0,522,603,0,1125,1125,0.464,0.536,0.0,-0.072,0.017034187491929698,0.1464940124305954,SAME_BAR_MIXED
NQ,upper_N20_ema_k1,505,514,0,1019,1019,0.4955839057899902,0.5044160942100098,0.0,-0.008832188420019628,0.8021285165259177,0.9032460104161287,SAME_BAR_MIXED
NQ,upper_N20_ema_k2,492,419,0,911,911,0.54006586169045,0.45993413830954993,0.0,0.0801317233809001,0.017009975161519284,0.1464940124305954,SAME_BAR_MIXED
NQ,upper_N20_ema_k3,403,408,0,811,811,0.4969173859432799,0.5030826140567201,0.0,-0.006165228113440197,0.8883085443026562,0.9670194279750435,SAME_BAR_MIXED
NQ,upper_N20_mean_k0,539,583,2,1124,1122,0.4795373665480427,0.5186832740213523,0.0017793594306049821,-0.03914590747330961,0.19921656668401244,0.530009972303514,SAME_BAR_MIXED
NQ,upper_N20_mean_k1,502,516,0,1018,1018,0.4931237721021611,0.5068762278978389,0.0,-0.0137524557956778,0.6837013190699064,0.8809057314124004,SAME_BAR_MIXED
NQ,upper_N20_mean_k2,476,433,0,909,909,0.5236523652365237,0.47634763476347636,0.0,0.047304730473047306,0.16356775012287686,0.4835031224662297,SAME_BAR_MIXED
NQ,upper_N20_mean_k3,395,417,0,812,812,0.48645320197044334,0.5135467980295566,0.0,-0.027093596059113302,0.4611704922806441,0.7627050449256807,SAME_BAR_MIXED
