instrument,level_id,arm,horizon,label_tau1.0,n
ES,mult_U_2.0,REAL,15,REJECTION,338
ES,mult_U_2.0,SYNTHETIC,1,CONTINUATION,180
ES,mult_U_2.0,SYNTHETIC,1,INCONCLUSIVE,400
ES,mult_U_2.0,SYNTHETIC,1,REJECTION,201
ES,mult_U_2.0,SYNTHETIC,3,CONTINUATION,238
ES,mult_U_2.0,SYNTHETIC,3,INCONCLUSIVE,299
ES,mult_U_2.0,SYNTHETIC,3,REJECTION,244
ES,mult_U_2.0,SYNTHETIC,5,CONTINUATION,263
ES,mult_U_2.0,SYNTHETIC,5,INCONCLUSIVE,240
ES,mult_U_2.0,SYNTHETIC,5,REJECTION,278
ES,mult_U_2.0,SYNTHETIC,10,CONTINUATION,297
ES,mult_U_2.0,SYNTHETIC,10,INCONCLUSIVE,195
ES,mult_U_2.0,SYNTHETIC,10,REJECTION,289
ES,mult_U_2.0,SYNTHETIC,15,CONTINUATION,325
ES,mult_U_2.0,SYNTHETIC,15,INCONCLUSIVE,149
ES,mult_U_2.0,SYNTHETIC,15,REJECTION,307
ES,overnight_high,REAL,1,CONTINUATION,109
ES,overnight_high,REAL,1,INCONCLUSIVE,201
ES,overnight_high,REAL,1,REJECTION,116
ES,overnight_high,REAL,3,CONTINUATION,146
ES,overnight_high,REAL,3,INCONCLUSIVE,157
ES,overnight_high,REAL,3,REJECTION,123
ES,overnight_high,REAL,5,CONTINUATION,157
ES,overnight_high,REAL,5,INCONCLUSIVE,133
ES,overnight_high,REAL,5,REJECTION,136
ES,overnight_high,REAL,10,CONTINUATION,173
ES,overnight_high,REAL,10,INCONCLUSIVE,104
ES,overnight_high,REAL,10,REJECTION,149
ES,overnight_high,REAL,15,CONTINUATION,178
ES,overnight_high,REAL,15,INCONCLUSIVE,90
ES,overnight_high,REAL,15,REJECTION,158
ES,overnight_high,SYNTHETIC,1,CONTINUATION,192
ES,overnight_high,SYNTHETIC,1,INCONCLUSIVE,409
ES,overnight_high,SYNTHETIC,1,REJECTION,202
ES,overnight_high,SYNTHETIC,3,CONTINUATION,249
ES,overnight_high,SYNTHETIC,3,INCONCLUSIVE,314
ES,overnight_high,SYNTHETIC,3,REJECTION,240
ES,overnight_high,SYNTHETIC,5,CONTINUATION,282
ES,overnight_high,SYNTHETIC,5,INCONCLUSIVE,256
ES,overnight_high,SYNTHETIC,5,REJECTION,265
ES,overnight_high,SYNTHETIC,10,CONTINUATION,330
ES,overnight_high,SYNTHETIC,10,INCONCLUSIVE,191
ES,overnight_high,SYNTHETIC,10,REJECTION,282
ES,overnight_high,SYNTHETIC,15,CONTINUATION,341
ES,overnight_high,SYNTHETIC,15,INCONCLUSIVE,155
ES,overnight_high,SYNTHETIC,15,REJECTION,307
ES,overnight_low,REAL,1,CONTINUATION,120
